,ID,Relation,Source,Target,HE
794,,,,commodity,מצרך
795,,,,trade_good,סחר_טוב
796,,,,good,טוב
797,,,,artifact,חפץ
798,,,,artefact,DUPLICATE_חפץ
799,,,,unit,יְחִידָה
800,,,,object,אובייקט
801,,,,physical_object,אוֹבְּיֶיקט_פיזי
802,,,,physical_entity,ישות_פיזית
803,,,,entity,ישות
805,,,,,"אפודה,סרוגה"
806,L02_45,hypernyms - misc,toaster,,טוסטר
807,,,,appliance,DUPLICATE_מכשירי_חשמל_ביתיים
808,,,,entity,ישות
809,,,,unit,יְחִידָה
810,,,,object,אובייקט
811,,,,physical_object,אוֹבְּיֶיקט_פיזי
812,,,,kitchen_appliance,מכשיר_למטבח
813,,,,home_appliance,מכשירי_חשמל_ביתיים
814,,,,household_appliance,DUPLICATE_מכשירי_חשמל_ביתיים
815,,,,durables,DUPLICATE_מוצרי_צריכה_עמידים
816,,,,durable_goods,מוצרי_צריכה_עמידים
817,,,,consumer_durables,מוצרים_עמידים_לצרכן
818,,,,consumer_goods,מוצרי_צריכה
819,,,,commodity,מצרך
820,,,,trade_good,סחר_טוב
821,,,,good,טוב
822,,,,artifact,חפץ
823,,,,artefact,DUPLICATE_חפץ
824,,,,physical_entity,ישות_פיזית
825,,,,,"מקלה_לחם,מצנם"
826,L02_46,hypernyms - misc,toothbrush,,מברשת_שיניים
827,,,,brush,מברשת
828,,,,toiletry,תמרוק
829,,,,toilet_articles,חפצי_שירותים
830,,,,implement,כלי
831,,,,artifact,חפץ
832,,,,artefact,DUPLICATE_חפץ
833,,,,unit,יְחִידָה
834,,,,object,אובייקט
835,,,,physical_object,אוֹבְּיֶיקט_פיזי
836,,,,physical_entity,ישות_פיזית
837,,,,entity,ישות
838,,,,mustache,שָׂפָם
839,,,,moustache,DUPLICATE_שפם
840,,,,facial_hair,שיער_פנים
841,,,,hair,שיער
842,,,,body_covering,כיסוי_גוף
843,,,,covering,כיסוי
844,,,,natural_covering,כיסוי_טבעי
845,,,,cover,DUPLICATE_כיסוי
846,,,,natural_object,DUPLICATE_כיסוי_טבעי
848,L02_47,hypernyms - misc,tub,,אמבטיה
849,,,,container,מיכל
850,,,,vessel,כלי_קיבול
851,,,,artifact,חפץ
852,,,,artefact,DUPLICATE_חפץ
853,,,,unit,יְחִידָה
854,,,,object,אובייקט
855,,,,physical_object,אוֹבְּיֶיקט_פיזי
856,,,,physical_entity,ישות_פיזית
857,,,,entity,ישות
858,,,,,גיגית
859,L02_48,hypernyms - misc,tv,,טלויזיה
860,,,,device,מתקן
861,,,,machine,מכונה
862,,,,receiver,מַקְלֵט
863,,,,receiving_system,מערכת_קליטה
864,,,,set,מערכת
865,,,,electronic_equipment,ציוד_אלקטרוני
866,,,,equipment,ציוד
867,,,,artifact,חפץ
868,,,,artefact,DUPLICATE_חפץ
869,,,,unit,יְחִידָה
870,,,,object,אובייקט
871,,,,physical_object,אוֹבְּיֶיקט_פיזי
872,,,,physical_entity,ישות_פיזית
873,,,,entity,ישות
874,,,,broadcasting,שידור
875,,,,telecommunication,טֵלֵקוֹמוּנִיקַציָה
876,,,,telecom,טלקום
877,,,,medium,מדיום
878,,,,,"סדרה,אמצעי"
879,L02_49,hypernyms - misc,vase,,אגרטל
880,,,,jar,קנקן
881,,,,vessel,כלי_קיבול
882,,,,container,מיכל
883,,,,artifact,חפץ
884,,,,artefact,DUPLICATE_חפץ
885,,,,unit,יְחִידָה
886,,,,object,אובייקט
887,,,,physical_object,אוֹבְּיֶיקט_פיזי
888,,,,physical_entity,ישות_פיזית
889,,,,entity,ישות
890,,,,,"וזה,צנצנת"
891,L02_50,hypernyms - misc,wristband,,צמיד
892,,,,band,רצועה
893,,,,strip,DUPLICATE_רצועה
894,,,,slip,הֶחְלִיק
895,,,,artifact,חפץ
896,,,,artefact,DUPLICATE_חפץ
897,,,,unit,יְחִידָה
898,,,,object,אובייקט
899,,,,physical_object,אוֹבְּיֶיקט_פיזי
900,,,,physical_entity,ישות_פיזית
901,,,,entity,ישות
