,ID,Relation,Source,Target,EL
731,,,,covering,κάλυμμα
732,,,,commodity,εμπόρευμα
733,,,,trade_good,αγαθό_εμπορίου
734,,,,good,αγαθό
735,,,,artifact,κατασκεύασμα
736,,,,artefact,DUPLICATE_κατασκεύασμα
737,,,,unit,μονάδα
738,,,,object,αντικείμενο
739,,,,physical_object,φυσικό_αντικείμενο
740,,,,physical_entity,φυσική_οντότητα
741,,,,entity,οντότητα
743,L02_41,hypernyms - misc,sofa,,καναπές
744,,,,furniture,έπιπλο
745,,,,seat,κάθισμα
746,,,,piece_of_furniture,DUPLICATE_έπιπλο
747,,,,article_of_furniture,DUPLICATE_έπιπλο
748,,,,furnishing,επίπλωση
749,,,,artifact,κατασκεύασμα
750,,,,artefact,DUPLICATE_κατασκεύασμα
751,,,,unit,μονάδα
752,,,,object,αντικείμενο
753,,,,physical_object,φυσικό_αντικείμενο
754,,,,physical_entity,φυσική_οντότητα
755,,,,entity,οντότητα
756,,,,,"κατασκευή,τεχνούργημα"
757,L02_42,hypernyms - misc,stapler,,συρραπτικό
758,,,,device,συσκευή
759,,,,machine,μηχανή
760,,,,artifact,κατασκεύασμα
761,,,,artefact,DUPLICATE_κατασκεύασμα
762,,,,unit,μονάδα
763,,,,object,αντικείμενο
764,,,,physical_object,φυσικό_αντικείμενο
765,,,,physical_entity,φυσική_οντότητα
766,,,,entity,οντότητα
767,,,,,"κατασκευή,τεχνούργημα"
768,L02_43,hypernyms - misc,sunscreen,,αντιηλιακό
769,,,,cream,κρέμα
770,,,,lotion,λοσιόν
771,,,,ointment,αλοιφή
772,,,,emollient,μαλλακτικό
773,,,,toiletry,είδος_προσωπικής_υγιεινής
774,,,,toilet_articles,DUPLICATE_είδος_προσωπικής_υγιεινής
775,,,,artifact,κατασκεύασμα
776,,,,artefact,DUPLICATE_κατασκεύασμα
777,,,,unit,μονάδα
778,,,,object,αντικείμενο
779,,,,physical_object,φυσικό_αντικείμενο
780,,,,physical_entity,φυσική_οντότητα
781,,,,entity,οντότητα
782,,,,,"κατασκευή,τεχνούργημα"
783,L02_44,hypernyms - misc,sweater,,πουλόβερ
784,,,,clothes,ρούχο
785,,,,garment,ένδυμα
786,,,,clothing,ρουχισμός
787,,,,article_of_clothing,DUPLICATE_ρούχο
788,,,,vesture,ενδυμασία
789,,,,wear,φορεσιά
790,,,,wearable,φορετό
791,,,,habiliment,DUPLICATE_ένδυμα
792,,,,consumer_goods,καταναλωτικό_αγαθό
793,,,,covering,κάλυμμα
794,,,,commodity,εμπόρευμα
795,,,,trade_good,αγαθό_εμπορίου
796,,,,good,αγαθό
797,,,,artifact,κατασκεύασμα
798,,,,artefact,DUPLICATE_κατασκεύασμα
799,,,,unit,μονάδα
800,,,,object,αντικείμενο
801,,,,physical_object,φυσικό_αντικείμενο
802,,,,physical_entity,φυσική_οντότητα
803,,,,entity,οντότητα
805,,,,,"κατασκευή,τεχνούργημα"
806,L02_45,hypernyms - misc,toaster,,τοστιέρα
807,,,,appliance,συσκευή
808,,,,entity,οντότητα
809,,,,unit,μονάδα
810,,,,object,αντικείμενο
811,,,,physical_object,φυσικό_αντικείμενο
812,,,,kitchen_appliance,κουζίνα
813,,,,home_appliance,οικιακή_συσκευή
814,,,,household_appliance,DUPLICATE_οικιακή_συσκευή
815,,,,durables,διαρκές_αγαθό
816,,,,durable_goods,DUPLICATE_διαρκές_αγαθό
817,,,,consumer_durables,διαρκές_καταναλωτικό_αγαθό
818,,,,consumer_goods,καταναλωτικό_αγαθό
819,,,,commodity,εμπόρευμα
820,,,,trade_good,αγαθό_εμπορίου
821,,,,good,αγαθό
822,,,,artifact,κατασκεύασμα
823,,,,artefact,DUPLICATE_κατασκεύασμα
824,,,,physical_entity,φυσική_οντότητα
825,,,,,"κατασκευή,τεχνούργημα"
826,L02_46,hypernyms - misc,toothbrush,,οδοντόβουρτσα
827,,,,brush,βούρτσα
828,,,,toiletry,είδος_προσωπικής_υγιεινής
829,,,,toilet_articles,DUPLICATE_είδος_προσωπικής_υγιεινής
830,,,,implement,εργαλείο
831,,,,artifact,κατασκεύασμα
832,,,,artefact,DUPLICATE_κατασκεύασμα
833,,,,unit,μονάδα
834,,,,object,αντικείμενο
835,,,,physical_object,φυσικό_αντικείμενο
836,,,,physical_entity,φυσική_οντότητα
837,,,,entity,οντότητα
838,,,,mustache,μουστάκι
839,,,,moustache,DUPLICATE_μουστάκι
840,,,,facial_hair,τρίχα_προσώπου
841,,,,hair,μαλλιά
842,,,,body_covering,κάλυμμα_σώματος
843,,,,covering,κάλυμμα
844,,,,natural_covering,φυσικό_κάλυμμα
845,,,,cover,DUPLICATE_κάλυμμα
846,,,,natural_object,DUPLICATE_φυσικό_αντικείμενο
848,L02_47,hypernyms - misc,tub,,κάδος
849,,,,container,δοχείο
850,,,,vessel,αγγείο
851,,,,artifact,κατασκεύασμα
852,,,,artefact,DUPLICATE_κατασκεύασμα
853,,,,unit,μονάδα
854,,,,object,αντικείμενο
855,,,,physical_object,φυσικό_αντικείμενο
856,,,,physical_entity,φυσική_οντότητα
857,,,,entity,οντότητα
858,,,,,"κατασκευή,τεχνούργημα"
859,L02_48,hypernyms - misc,tv,,τηλεόραση
860,,,,device,συσκευή
861,,,,machine,μηχανή
862,,,,receiver,δέκτης
863,,,,receiving_system,σύστημα_δέκτη
864,,,,set,σετ
865,,,,electronic_equipment,ηλεκτρονικός_εξοπλισμός
866,,,,equipment,εξοπλισμός
867,,,,artifact,κατασκεύασμα
868,,,,artefact,DUPLICATE_κατασκεύασμα
869,,,,unit,μονάδα
870,,,,object,αντικείμενο
871,,,,physical_object,φυσικό_αντικείμενο
872,,,,physical_entity,φυσική_οντότητα
873,,,,entity,οντότητα
874,,,,broadcasting,εκπομπή
875,,,,telecommunication,τηλεπικοινωνίες
876,,,,telecom,DUPLICATE_τηλεπικοινωνίες
877,,,,medium,μέσο
878,,,,,"κατασκευή,τεχνούργημα"
879,L02_49,hypernyms - misc,vase,,βάζο
880,,,,jar,κανάτα
881,,,,vessel,αγγείο
882,,,,container,δοχείο
883,,,,artifact,κατασκεύασμα
884,,,,artefact,DUPLICATE_κατασκεύασμα
885,,,,unit,μονάδα
886,,,,object,αντικείμενο
887,,,,physical_object,φυσικό_αντικείμενο
888,,,,physical_entity,φυσική_οντότητα
889,,,,entity,οντότητα
890,,,,,"κατασκευή,τεχνούργημα"
891,L02_50,hypernyms - misc,wristband,,περικάρπιο
892,,,,band,μπάντα
893,,,,strip,ταινία
894,,,,slip,NO_TRANSLATION
895,,,,artifact,κατασκεύασμα
896,,,,artefact,DUPLICATE_κατασκεύασμα
897,,,,unit,μονάδα
898,,,,object,αντικείμενο
899,,,,physical_object,φυσικό_αντικείμενο
900,,,,physical_entity,φυσική_οντότητα
901,,,,entity,οντότητα
